2018rank,City,State[c],2018estimate,2010Census,Change,2016 land area sq mi,2016 land area sq km,2016 population density per sq mi,2016 population density per sq km,Location,Short_Description_of_City,zip-codes
247,College Station, Texas,"116,218","93,857",+23.82%,51.0 sq mi,132.1 km2,"2,199/sq mi",849/km2,30°35′07″N 96°17′47″W﻿ / ﻿30.5852°N 96.2964°W﻿ / 30.5852; -96.2964﻿ (College Station),"College Station is a city in Brazos County, Texas, situated in East-Central Texas in the heart of the Brazos Valley, in the center of the region known as Texas Triangle. It is 90 miles  northwest of Houston and 87 miles  northeast of Austin. As of the 2010 census, College Station had a population of 93,857, which had increased to an estimated population of 121,321 as of February 2019. College Station and Bryan together make up the Bryan-College Station metropolitan area, the 13th-largest metropolitan area in Texas with 273,101 people as of 2019.",7784077845
248,West Jordan, Utah,"116,046","103,712",+11.89%,32.3 sq mi,83.7 km2,"3,520/sq mi","1,360/km2",40°36′09″N 112°00′03″W﻿ / ﻿40.6024°N 112.0008°W﻿ / 40.6024; -112.0008﻿ (West Jordan),"Settled in the mid-19th century, the city has developed into its own regional center. As of 2012, the city has four major retail centers; with Jordan Landing being one of the largest mixed-use planned developments in the Intermountain West. Companies headquartered in West Jordan include Mountain America Credit Union, Lynco Sales & Service, SME Steel, and Cyprus Credit Union. The city has one major hospital, Jordan Valley Medical Center, and a campus of Salt Lake Community College, which is designed to become the main campus by 2020.","84081, 84084, 84088"
249,Carlsbad, California,"115,877","105,328",+10.02%,37.7 sq mi,97.6 km2,"3,023/sq mi","1,167/km2",33°07′26″N 117°16′58″W﻿ / ﻿33.1239°N 117.2828°W﻿ / 33.1239; -117.2828﻿ (Carlsbad),"Carlsbad is a city in the North County region of San Diego County, California, United States. The city is 87 miles  south of downtown Los Angeles and 35 miles  north of downtown San Diego and is part of the San Diego-Carlsbad, CA Metropolitan Statistical Area. Referred to as ""The Village by the Sea"" by locals, Carlsbad is a tourist destination. The city's estimated 2014 population was 112,299. Among the nation's top 20 wealthiest communities, Carlsbad is the 5th richest city in the state of California with a median household income close to US$105,000.","92008–92011, 92018"
250,El Monte, California,"115,586","113,475",+1.86%,9.6 sq mi,24.9 km2,"12,063/sq mi","4,658/km2",34°04′29″N 118°01′45″W﻿ / ﻿34.0746°N 118.0291°W﻿ / 34.0746; -118.0291﻿ (El Monte),"El Monte's slogan is ""Welcome to Friendly El Monte""  and historically is known as ""The End of the Santa Fe Trail"". As of the 2010 census, the city had a total population of 113,475, down from 115,965 at the 2000 census.  As of 2010, El Monte was the 51st largest city in California.",91731–91735
251,Murrieta, California,"114,985","103,466",+11.13%,33.6 sq mi,87.0 km2,"3,324/sq mi","1,283/km2",33°34′20″N 117°11′25″W﻿ / ﻿33.5721°N 117.1904°W﻿ / 33.5721; -117.1904﻿ (Murrieta),"Murrieta is a city in southwestern Riverside County, California, United States. The population of Murrieta was 103,466 at the 2010 census. Murrieta experienced a 133.7% population increase between 2000 and 2010, according to the most recent census, making Murrieta one of the fastest-growing cities in the state. This population boom in 2010 surpassed the population of the historically larger and more commercial city of Temecula to the south for the first time since the incorporation of either city. Temecula and Murrieta together form the southwestern anchor of the Inland Empire region. The Murrieta-Temecula-Menifee Urban Area had a population of 441,546 at the 2010 Census. Largely residential in character, Murrieta is typically characterized as a commuter town, with many of its residents commuting to jobs in San Diego County, Orange County, Los Angeles County, Temecula, and Camp Pendleton.",92562–92564
252,Temecula, California,"114,742","100,097",+14.63%,37.3 sq mi,96.6 km2,"3,031/sq mi","1,170/km2",33°29′35″N 117°07′54″W﻿ / ﻿33.4931°N 117.1317°W﻿ / 33.4931; -117.1317﻿ (Temecula),"Temecula /təˈmɛkjʊlə/ is a city in southwestern Riverside County, California, United States. The city is a tourist and resort destination, with the Temecula Valley Wine Country, Old Town Temecula, the Temecula Valley Polo Club, the Temecula Valley Balloon & Wine Festival, the Temecula Valley International Film Festival, championship golf courses, and resort accommodations for tourists which contribute to the city's economic profile.",92589–92593
253,Springfield, Illinois,"114,694","116,250",−1.34%,60.1 sq mi,155.7 km2,"1,925/sq mi",743/km2,39°47′28″N 89°38′41″W﻿ / ﻿39.7911°N 89.6446°W﻿ / 39.7911; -89.6446﻿ (Springfield),"Present-day Springfield was settled by European Americans in the late 1810s, around the time Illinois became a state. The most famous historic resident was Abraham Lincoln, who lived in Springfield from 1837 until 1861, when he went to the White House as President. Major tourist attractions include multiple sites connected with Lincoln including his presidential library and museum, his home, and his tomb at Oak Ridge Cemetery."," 62701–62708, 62711, 62712, 62715, 62716, 62719, 62722, 62723, 62726, 62736, 62739, 62756, 62757, 62761–62767, 62769, 62776, 62777, 62781, 62786, 62791, 62794, 62796"
254,Palm Bay, Florida,"114,194","103,190",+10.66%,65.7 sq mi,170.2 km2,"1,676/sq mi",647/km2,27°59′08″N 80°39′45″W﻿ / ﻿27.9856°N 80.6626°W﻿ / 27.9856; -80.6626﻿ (Palm Bay),"Palm Bay is a principal city of the Palm Bay−Melbourne−Titusville Metropolitan Statistical Area, which had a population of 543,376 at the 2010 census.",3290532911
255,Costa Mesa, California,"113,615","109,960",+3.32%,15.7 sq mi,40.7 km2,"7,186/sq mi","2,775/km2",33°39′57″N 117°54′44″W﻿ / ﻿33.6659°N 117.9123°W﻿ / 33.6659; -117.9123﻿ (Costa Mesa),"Costa Mesa  is a city in Orange County, California. Since its incorporation in 1953, the city has grown from a semi-rural farming community of 16,840 to a primarily suburban and edge city with an economy based on retail, commerce, and light manufacturing. The population was 109,960 at the 2010 United States Census.",92626–92628
256,Westminster, Colorado,"113,479","106,114",+6.94%,31.7 sq mi,82.1 km2,"3,592/sq mi","1,387/km2",39°52′56″N 105°03′52″W﻿ / ﻿39.8822°N 105.0644°W﻿ / 39.8822; -105.0644﻿ (Westminster),"Gold discovered in the South Platte River Valley in 1858 brought national attention to the area that would become Westminster, Colorado. The promise of fortune and the Land Act of 1862 encouraged many settlers from the east to make Colorado their home instead of heading on to California. Before the settlements came, wildlife like antelope and buffalo made their homes in this area. There is also evidence of Arapaho Indians near the Crown Point  area.","80003, 80005, 8002080021, 80023, 8003080031, 8003580036, 80221, 80234, 80241, 80260"
257,North Charleston, South Carolina,"113,237","97,471",+16.18%,73.7 sq mi,190.9 km2,"1,483/sq mi",573/km2,32°55′04″N 80°03′54″W﻿ / ﻿32.9178°N 80.0650°W﻿ / 32.9178; -80.0650﻿ (North Charleston),"North Charleston is the third-largest city in the U.S. state of South Carolina, with incorporated areas in Berkeley, Charleston, and Dorchester counties.  On June 12, 1972, the city of North Charleston was incorporated and was rated as the ninth-largest city in South Carolina. As of the 2010 Census, North Charleston had a population of 97,471, growing to an estimated population of 114,000+ in 2019, and with a current area of more than 76.6 square miles . As defined by the U.S. Office of Management and Budget, for use by the U.S. Census Bureau and other U.S. Government agencies for statistical purposes only, North Charleston is included within the Charleston–North Charleston–Summerville metropolitan area and the Charleston-North Charleston urban area. North Charleston is one of the state's major industrial centers and is the state's top city in gross retail sales.",
258,Miami Gardens, Florida,"113,069","107,167",+5.51%,18.2 sq mi,47.1 km2,"6,212/sq mi","2,398/km2",25°56′56″N 80°14′37″W﻿ / ﻿25.9489°N 80.2436°W﻿ / 25.9489; -80.2436﻿ (Miami Gardens),"Miami Gardens is a city located in north-central Miami-Dade County, Florida. Its boundaries stretch from I-95 and NE 2nd Avenue on the east, to NW 47th and NW 57th Avenues on the west, and from the Broward County line on the north, to 151st Street on the south. The city name comes from one of the major roadways through the area, Miami Gardens Drive. According to the 2017 estimate from the US Census Bureau, the city had a population of 113,750, and it is the largest city in Florida that has a majority African American population. It is a principal city of the Miami metropolitan area, which was home to an estimated 6,012,331 people at the 2015 census.","33014, 33054, 33055, 33056, 33152, 33169"
259,Manchester, New Hampshire,"112,525","109,565",+2.70%,33.1 sq mi,85.7 km2,"3,339/sq mi","1,289/km2",42°59′06″N 71°26′39″W﻿ / ﻿42.9849°N 71.4441°W﻿ / 42.9849; -71.4441﻿ (Manchester),"Manchester is, along with Nashua, one of two seats of Hillsborough County, the state's most populous. Manchester lies near the northern end of the Northeast megalopolis and straddles the banks of the Merrimack River. It was first named by the merchant and inventor Samuel Blodgett, namesake of Samuel Blodget Park and Blodget Street in the city's North End. His vision was to create a great industrial center similar to that of the original Manchester in England, which was the world's first industrialized city.",0310103111 
260,High Point, North Carolina,"112,316","104,371",+7.61%,55.2 sq mi,143.0 km2,"2,015/sq mi",778/km2,35°59′24″N 79°59′26″W﻿ / ﻿35.9900°N 79.9905°W﻿ / 35.9900; -79.9905﻿ (High Point),"High Point is known for its furniture, textiles, and bus manufacturing. The city is sometimes referred to as the ""Home Furnishings Capital of the World"". The city's official slogan is ""North Carolina's International City"" due to the semi-annual High Point Furniture Market that attracts 100,000 exhibitors and buyers from around the world.",2726027265
261,Downey, California,"112,269","111,772",+0.44%,12.4 sq mi,32.1 km2,"9,134/sq mi","3,527/km2",33°56′18″N 118°07′51″W﻿ / ﻿33.9382°N 118.1309°W﻿ / 33.9382; -118.1309﻿ (Downey),"Downey is a city located in southeast Los Angeles County, California, United States, 13 mi  southeast of downtown Los Angeles. It is considered part of the Gateway Cities. The city is the birthplace of the Apollo space program. It is also the home of the oldest still operational McDonald's restaurant in the world. As of the 2010 census, the city had a total population of 111,779.",90239–90242
262,Clovis, California,"112,022","95,631",+17.14%,24.2 sq mi,62.7 km2,"4,404/sq mi","1,700/km2",36°49′42″N 119°41′06″W﻿ / ﻿36.8282°N 119.6849°W﻿ / 36.8282; -119.6849﻿ (Clovis),"The city of Clovis began as a freight stop along the San Joaquin Valley Railroad. Organized on January 15, 1890, by Fresno businessmen Thomas E. Hughes, Fulton Berry, Gilbert R. Osmun, H.D. Colson, John D. Gray, and William M. Williams, in partnership with Michigan railroad speculator Marcus Pollasky, the SJVRR began construction in Fresno on July 4, 1891, and reached the farmlands of Clovis Cole and George Owen by October of that year. The railroad purchased right-of-way from both farmers, half from each – the east side from Cole and the west side from Owen – and ran tracks up the borderline between the two properties. The railroad agreed to establish a station on the west side of the tracks and to call it ""Clovis"". The Clovis station, after which the town was named, was positioned on the Owen side of the track.",93611–93613  93619
263,Pompano Beach, Florida,"111,954","99,845",+12.13%,24.0 sq mi,62.2 km2,"4,558/sq mi","1,760/km2",26°14′30″N 80°08′02″W﻿ / ﻿26.2416°N 80.1339°W﻿ / 26.2416; -80.1339﻿ (Pompano Beach),"Pompano Beach is currently in the middle of a redevelopment process to revitalize its beachfront and historic downtown. The city has also been listed as one of the top real estate markets, being featured in CNN, Money and the Wall Street Journal as one of the country's top vacation home markets. Pompano Beach Airpark, located within the city, is the home of the Goodyear Blimp Spirit of Innovation.","3306033077, 33093, 33097"
264,Pueblo, Colorado,"111,750","106,595",+4.84%,53.6 sq mi,138.8 km2,"2,058/sq mi",795/km2,38°16′12″N 104°36′44″W﻿ / ﻿38.2699°N 104.6123°W﻿ / 38.2699; -104.6123﻿ (Pueblo),"Pueblo is situated at the confluence of the Arkansas River and Fountain Creek, 112 miles  south of the Colorado State Capitol in Denver. The area is considered semi-arid desert land, with approximately 12 inches  of precipitation annually. With its location in the ""Banana Belt"", Pueblo tends to get less snow than the other major cities in Colorado.",8100181012
265,Elgin, Illinois,"111,683","108,188",+3.23%,37.4 sq mi,96.9 km2,"2,998/sq mi","1,158/km2",42°02′23″N 88°19′18″W﻿ / ﻿42.0396°N 88.3217°W﻿ / 42.0396; -88.3217﻿ (Elgin),"The Indian Removal Act of 1830 and the Black Hawk Indian War of 1832 led to the expulsion of the Native Americans who had settlements and burial mounds in the area, and set the stage for the founding of Elgin. Thousands of militiamen and soldiers of Gen. Winfield Scott's army marched through the Fox River valley during the war, and accounts of the area's fertile soils and flowing springs soon filtered east.",60120–60125
266,Lowell, Massachusetts,"111,670","106,519",+4.84%,13.6 sq mi,35.2 km2,"8,129/sq mi","3,139/km2",42°38′20″N 71°19′16″W﻿ / ﻿42.6390°N 71.3211°W﻿ / 42.6390; -71.3211﻿ (Lowell),"Lowell is a city in the U.S. Commonwealth of Massachusetts. Located in Middlesex County, Lowell  was a county seat until Massachusetts disbanded county government in 1999. With an estimated population of 109,945 in 2014, it is the fourth-largest city in Massachusetts, and the second-largest in the Boston metropolitan statistical area.  The city is also part of a smaller Massachusetts statistical area called Greater Lowell, as well as New England's Merrimack Valley region.","01850, 01851, 01852, 01853, 01854"
267,Antioch, California,"111,535","102,372",+8.95%,29.4 sq mi,76.1 km2,"3,772/sq mi","1,456/km2",37°58′45″N 121°47′46″W﻿ / ﻿37.9791°N 121.7962°W﻿ / 37.9791; -121.7962﻿ (Antioch),"Antioch  and Marshs Landing) is the second largest city in Contra Costa County, California, United States. Located in the East Bay region of the San Francisco Bay Area along the San Joaquin-Sacramento River Delta, it is a suburb of San Francisco and Oakland. The city's population was 102,372 at the 2010 census and estimated to be 110,542 in 2015.","94509, 94531"
268,West Palm Beach, Florida,"111,398","99,919",+11.49%,55.1 sq mi,142.7 km2,"1,963/sq mi",758/km2,26°44′47″N 80°07′30″W﻿ / ﻿26.7464°N 80.1251°W﻿ / 26.7464; -80.1251﻿ (West Palm Beach),"West Palm Beach is a city in and the county seat of Palm Beach County, Florida, United States. It is located immediately to the west of the adjacent Palm Beach, which is situated on a barrier island across the Lake Worth Lagoon. The population was 99,919 at the 2010 census. West Palm Beach is a principal city of the Miami metropolitan area, which was home to an estimated 6,158,824 people in 2017.",33401–33422
269,Peoria, Illinois,"111,388","115,007",−3.15%,48.2 sq mi,124.8 km2,"2,371/sq mi",915/km2,40°45′05″N 89°37′03″W﻿ / ﻿40.7515°N 89.6174°W﻿ / 40.7515; -89.6174﻿ (Peoria),"Peoria is one of the oldest settlements in Illinois, as explorers first ventured up the Illinois River from the Mississippi. The lands that eventually would become Peoria were first settled by Europeans in 1680, when French explorers René-Robert Cavelier, Sieur de La Salle and Henri de Tonti constructed Fort Crevecoeur. This fort would later burn to the ground, and in 1813 Fort Clark, Illinois was built. When the County of Peoria was organized in 1825, Fort Clark was officially named Peoria.","29   6160161607, 6161261615, 61625, 61629, 61630, 61633, 61634, 6163661639, 61641, 61643, 6165061656"
270,Everett, Washington,"111,262","103,019",+8.00%,33.3 sq mi,86.2 km2,"3,275/sq mi","1,264/km2",47°57′24″N 122°11′29″W﻿ / ﻿47.9566°N 122.1914°W﻿ / 47.9566; -122.1914﻿ (Everett),"Everett is the county seat of and the largest city in Snohomish County, Washington, United States. It is located 25 miles  north of Seattle and is one of the main cities in the metropolitan area and Puget Sound region. Everett is the seventh-largest city in Washington state and had a total population of 103,019 at the 2010 census. The city is located at the mouth of the Snohomish River along Port Gardner Bay, an inlet of Possession Sound .","98201, 98203, 98204, 98206, 98207, 98208, 98213"
271,Ventura[aa], California,"111,128","106,433",+4.41%,21.8 sq mi,56.5 km2,"5,027/sq mi","1,941/km2",34°16′04″N 119°15′15″W﻿ / ﻿34.2678°N 119.2542°W﻿ / 34.2678; -119.2542﻿ (Ventura),"Ventura, officially the City of San Buenaventura, is the county seat of Ventura County, California, United States. The coastal site, set against undeveloped hills and flanked by two free-flowing rivers, has been inhabited for thousands of years. European explorers encountered a Chumash village, referred to as Shisholop, here while traveling along the Pacific coast. They witnessed the ocean navigation skill of the native people and their use of the abundant local resources from sea and land. The eponymous Mission San Buenaventura was founded nearby in 1782 where it benefitted from the water of the Ventura River. The town grew around the mission compound and incorporated in 1866. The development of nearby oil fields in the 1920s and the age of automobile travel created a major real estate boom during which many designated landmark buildings were constructed. The mission and these buildings are at the center of a downtown that has become a cultural, retail, and residential district and visitor destination.","93001–93007, 93009"
272,Centennial, Colorado,"110,831","100,377",+10.41%,29.5 sq mi,76.4 km2,"3,727/sq mi","1,439/km2",39°35′26″N 104°52′09″W﻿ / ﻿39.5906°N 104.8691°W﻿ / 39.5906; -104.8691﻿ (Centennial),"The City of Centennial was formed on February 7, 2001, from portions of unincorporated Arapahoe County, including the former Castlewood and Southglenn census-designated places . The citizens of the area had voted to incorporate on September 12, 2000, choosing Centennial as the official name during the vote. The name reflects Colorado's admission to the Union as the 38th state in 1876, the centennial year of the United States Declaration of Independence. The state of Colorado is nicknamed the ""Centennial State"".","8001580016, 8011180112, 8012180122,80161 "
273,Lakeland, Florida,"110,516","97,422",+13.44%,65.9 sq mi,170.7 km2,"1,615/sq mi",624/km2,28°03′20″N 81°57′18″W﻿ / ﻿28.0555°N 81.9549°W﻿ / 28.0555; -81.9549﻿ (Lakeland),"Lakeland is a city in Polk County, Florida, along Interstate 4 east of Tampa. The westernmost city in Polk County, it is part of the Tampa Bay Area. According to the 2013 U.S. Census Bureau estimate, the city had a population of 100,710. Lakeland is a principal city of the Lakeland–Winter Haven Metropolitan Statistical Area , which had an estimated population of 623,009 in July 2013 based on data from the University of Florida Bureau of Economic and Business Research. It is twinned with Richmond Hill, Ontario; Imabari, Ehime, Japan; Bălți, Moldova; Portmore, Jamaica; and Chongming County, Shanghai, China through the Lakeland chapter of Sister Cities International.",33801–33815
274,Gresham, Oregon,"110,158","105,594",+4.32%,23.3 sq mi,60.3 km2,"4,786/sq mi","1,848/km2",45°30′08″N 122°26′30″W﻿ / ﻿45.5023°N 122.4416°W﻿ / 45.5023; -122.4416﻿ (Gresham),"Gresham /ˈɡrɛʃəm/ is a city located in Multnomah County, Oregon, in the United States, immediately east of Portland. Though it began as a settlement in the mid-1800s, it was not officially incorporated as a city until 1905; it was named after Walter Quinton Gresham, the American Civil War general and United States Postmaster General.","97030, 97080, 97233"
275,Richmond, California,"110,146","103,701",+6.21%,30.1 sq mi,78.0 km2,"3,648/sq mi","1,409/km2",37°57′08″N 122°21′38″W﻿ / ﻿37.9523°N 122.3606°W﻿ / 37.9523; -122.3606﻿ (Richmond),"Richmond  is a city in western Contra Costa County, California, United States. The city was incorporated on August 7, 1905. Located in the East Bay region of the San Francisco Bay Area, Richmond borders the cities of San Pablo, Albany, El Cerrito and Pinole in addition to the unincorporated communities of North Richmond, Hasford Heights, Kensington, El Sobrante, Bayview-Montalvin Manor, Tara Hills, and East Richmond Heights, and for a short distance San Francisco on Red Rock Island in the San Francisco Bay. Richmond is one of two cities, the other being San Rafael, California, that sits on the shores of San Francisco Bay and San Pablo Bay simultaneously.","94801, 94802, 94804, 94805, 94807, 94808, 94850"
276,Billings, Montana,"109,550","104,170",+5.16%,43.7 sq mi,113.2 km2,"2,525/sq mi",975/km2,45°47′19″N 108°33′00″W﻿ / ﻿45.7885°N 108.5499°W﻿ / 45.7885; -108.5499﻿ (Billings),"Billings is the largest city in the U.S. state of Montana, with a population estimated at 109,642 as of 2017. Located in the south-central portion of the state, it is the seat of Yellowstone County and the principal city of the Billings Metropolitan Area, which has a population of 170,498. It has a trade area of over 500,000.",5910159117
277,Inglewood, California,"109,419","109,673",−0.23%,9.1 sq mi,23.6 km2,"12,160/sq mi","4,700/km2",33°57′22″N 118°20′39″W﻿ / ﻿33.9561°N 118.3443°W﻿ / 33.9561; -118.3443﻿ (Inglewood),"George DotsonAlex Padilla,Eloy Morales, Jr.,",90301–90312
278,Broken Arrow, Oklahoma,"109,171","98,850",+10.44%,61.7 sq mi,159.8 km2,"1,741/sq mi",672/km2,36°02′11″N 95°46′52″W﻿ / ﻿36.0365°N 95.7810°W﻿ / 36.0365; -95.7810﻿ (Broken Arrow),The Missouri–Kansas–Texas Railroad sold lots for the town site in 1902 and company secretary William S. Fears named it Broken Arrow. The city was named for a Creek community settled by Creek Indians who had been forced to relocate from Alabama to Oklahoma along the Trail of Tears.,7401174014
279,Sandy Springs, Georgia,"108,797","93,853",+15.92%,37.7 sq mi,97.6 km2,"2,804/sq mi","1,083/km2",33°55′53″N 84°22′07″W﻿ / ﻿33.9315°N 84.3687°W﻿ / 33.9315; -84.3687﻿ (Sandy Springs),"Sandy Springs is a city in northern Fulton County, Georgia, United States, and part of the Atlanta metropolitan area. As of the 2010 census, Sandy Springs had a population of 93,853, and its 2017 estimated population was 106,739. Sandy Springs is Georgia's seventh-largest city  and is the site of several corporate headquarters  such as UPS, Inspire Brands, Cox Communications, and Mercedes-Benz USA's corporate offices.","30328, 30327, 30338, 30342, 30350, 30358, 30319, 30092"
280,Jurupa Valley, California,"108,393",0,NA[ab],42.9 sq mi,111.1 km2,"2,414/sq mi",932/km2,34°00′09″N 117°28′03″W﻿ / ﻿34.0026°N 117.4676°W﻿ / 34.0026; -117.4676﻿ (Jurupa Valley),"The city of Jurupa Valley covers approximately 43.5 square miles , and has an estimated population of 106,028.  Residents of the area had previously voted on incorporation in 1992; however, voters rejected it as well as a competing ballot measure that would have incorporated Mira Loma.","92509, 91752"
281,Hillsboro, Oregon,"108,389","91,611",+18.31%,25.0 sq mi,64.7 km2,"4,207/sq mi","1,624/km2",45°31′41″N 122°56′09″W﻿ / ﻿45.5280°N 122.9357°W﻿ / 45.5280; -122.9357﻿ (Hillsboro),"Hillsboro  is the fifth-largest city in the State of Oregon and is the county seat of Washington County. Lying in the Tualatin Valley on the west side of the Portland metropolitan area, the city hosts many high-technology companies, such as Intel, that comprise what has become known as the Silicon Forest. At the 2010 Census, the city's population was 91,611.","97123, 97124, 97006"
282,Waterbury, Connecticut,"108,093","110,366",−2.06%,28.5 sq mi,73.8 km2,"3,799/sq mi","1,467/km2",41°33′31″N 73°02′12″W﻿ / ﻿41.5585°N 73.0367°W﻿ / 41.5585; -73.0367﻿ (Waterbury),"Waterbury  is a city in the U.S. state of Connecticut on the Naugatuck River, 33 miles southwest of Hartford and 77 miles  northeast of New York City. Waterbury is the second-largest city in New Haven County, Connecticut. As of the 2010 census, Waterbury had a population of 110,366, making it the 10th largest city in the New York Metropolitan Area, 9th largest city in New England and the 5th largest city in Connecticut.",06701–06720
283,Santa Maria, California,"107,408","99,553",+7.89%,22.8 sq mi,59.1 km2,"4,662/sq mi","1,800/km2",34°56′00″N 120°26′38″W﻿ / ﻿34.9332°N 120.4438°W﻿ / 34.9332; -120.4438﻿ (Santa Maria),"The Santa Maria Valley, stretching from the Santa Lucia Mountains toward the Pacific Ocean, was the homeland of the Chumash people for several thousand years. The Native Americans made their homes on the slopes of the surrounding hills among the oaks, on the banks of the Santa Maria River among the sycamores, and along the coast. They had unique plank-built boats, called Tomol, which they used for ocean fishing.",93454–93458
284,Boulder, Colorado,"107,353","97,385",+10.24%,24.8 sq mi,64.2 km2,"4,358/sq mi","1,683/km2",40°01′37″N 105°15′07″W﻿ / ﻿40.0270°N 105.2519°W﻿ / 40.0270; -105.2519﻿ (Boulder),"Boulder  is the home rule municipality that is the county seat and the most populous municipality of Boulder County, Colorado, United States. It is the state's 11th-most-populous municipality; Boulder is located at the base of the foothills of the Rocky Mountains at an elevation of 5,430 feet  above sea level. The city is 25 miles  northwest of Denver.","8030180310, 80314, 8032180323, 80328, 80329"
285,Greeley, Colorado,"107,348","92,889",+15.57%,47.8 sq mi,123.8 km2,"2,176/sq mi",840/km2,40°24′55″N 104°46′11″W﻿ / ﻿40.4153°N 104.7697°W﻿ / 40.4153; -104.7697﻿ (Greeley),"The town was named after Horace Greeley, editor of the New-York Tribune, who came to Colorado in the 1859 Pike's Peak Gold Rush. It was founded as the Union Colony in 1869, an experimental utopian society, but the name was later changed in honor of Greeley. Governor Benjamin Harrison Eaton declared Greeley an official city on April 6, 1886.",8063180634  8063880639
286,Daly City, California,"107,008","101,123",+5.82%,7.6 sq mi,19.7 km2,"14,009/sq mi","5,409/km2",37°42′03″N 122°27′54″W﻿ / ﻿37.7009°N 122.4650°W﻿ / 37.7009; -122.4650﻿ (Daly City),"Daly City  is the largest city in San Mateo County, California, United States, with an estimated 2014 population of 106,094. Located immediately south of San Francisco, it is named in honor of businessman and landowner John Donald Daly.",94014–94017
287,Meridian, Idaho,"106,804","75,092",+42.23%,29.8 sq mi,77.2 km2,"3,584/sq mi","1,384/km2",43°36′51″N 116°23′56″W﻿ / ﻿43.6142°N 116.3989°W﻿ / 43.6142; -116.3989﻿ (Meridian),"The town was established in 1891 on the Onweiler farm north of the present site and was called Hunter. Two years later an I.O.O.F. lodge was organized and called itself Meridian because it was located on the Boise Meridian and the town was renamed. The Settlers' Irrigation Ditch, 1892, changed the arid region into a productive farming community which was incorporated in 1902.","83642, 83646, 83680"
288,Lewisville, Texas,"106,586","95,290",+11.85%,36.7 sq mi,95.1 km2,"2,852/sq mi","1,101/km2",33°02′48″N 96°58′54″W﻿ / ﻿33.0466°N 96.9818°W﻿ / 33.0466; -96.9818﻿ (Lewisville),"Lewisville  is a city in Denton County, Texas, United States. It is a suburb within the Dallas-Fort Worth Metroplex. The 2000 United States Census placed the city's population at 77,737 and the 2010 Census placed it at 95,290, making it one of the fastest-growing city populations in the United States and the 33rd most populous in Texas. It occupies 36.4 square miles  of land and includes 6.07 square miles  of Lewisville Lake.","75029, 75057, 75067, 75077"
289,Davie[ac], Florida,"106,558","91,992",+15.83%,34.9 sq mi,90.4 km2,"2,919/sq mi","1,127/km2",26°04′45″N 80°17′06″W﻿ / ﻿26.0791°N 80.2850°W﻿ / 26.0791; -80.2850﻿ (Davie),"Davie was founded by Tamara Toussaint and Jake Tannebaum. The original name of the town was Zona. In 1909, R.P. Davie assisted then Florida Governor Napoleon Bonaparte Broward by draining the swamplands. Robert Parsell  Davie, a developer, bought about 27,000 acres  in the area. He built a school in Zona. In 1916, the people of the town were so grateful they renamed the town after him. It was carved out of Everglades land that was mostly underwater.","33312, 33314, 33317, 3332433332, 33355, 33331"
290,West Covina, California,"106,311","106,098",+0.20%,16.0 sq mi,41.4 km2,"6,740/sq mi","2,600/km2",34°03′21″N 117°54′36″W﻿ / ﻿34.0559°N 117.9099°W﻿ / 34.0559; -117.9099﻿ (West Covina),"West Covina was incorporated as an independent city in 1923 to prevent the city of Covina from building a sewage farm in the area. Benjamin Franklin Maxson, Jr.,  initiated the incorporation process and was the first mayor.  Walnut groves and orange groves continued to flourish. The population in 1930 was 769 and blossomed to 1,549 in 1940. As a result of remarkable expansion during the post World War II building boom, West Covina became one of the fastest-growing U.S. cities between 1950 and 1960, with the population increasing 1,000 per cent from less than 5,000 to more than 50,000 citizens. The decades between 1960 and 2000 demonstrated steady growth, which slowed significantly by the time of the 2010 census.",91790–91793
291,League City, Texas,"106,244","83,560",+27.15%,51.2 sq mi,132.6 km2,"1,992/sq mi",769/km2,29°29′24″N 95°06′33″W﻿ / ﻿29.4901°N 95.1091°W﻿ / 29.4901; -95.1091﻿ (League City),"League City is home to several waterside resorts, such as South Shore Harbor Resort and Conference Center and Waterford Harbor and Yacht Club Marina, popular with residents of nearby Houston.",7757377574
292,Tyler, Texas,"105,729","96,900",+9.11%,56.6 sq mi,146.6 km2,"1,852/sq mi",715/km2,32°19′02″N 95°18′21″W﻿ / ﻿32.3173°N 95.3059°W﻿ / 32.3173; -95.3059﻿ (Tyler),"Tyler is known as the ""Rose Capital of America"" , a nickname it earned from a long history of rose production, cultivation, and processing. It is home to the largest rose garden in the United States, a 14-acre public garden complex that has over 38,000 rose bushes of at least 500 different varieties. The Tyler Rose Garden is also home to the annual Texas Rose Festival, attracting tourists by the thousands each year in mid-October. Tyler is also home to the Caldwell Zoo and Broadway Square Mall.",757xx
293,Norwalk, California,"105,120","105,549",−0.41%,9.7 sq mi,25.1 km2,"10,946/sq mi","4,226/km2",33°54′27″N 118°05′01″W﻿ / ﻿33.9076°N 118.0835°W﻿ / 33.9076; -118.0835﻿ (Norwalk),"Norwalk is a suburban city in Los Angeles County, California, United States. The population is estimated to be 107,096 as of 2014. It is the 58th most densely-populated city in California.","90650–90652, 90659"
